HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SV_POS
a,197982,0.000,0.000,36.000,0.157,-0.193,1.487,2.115,9.384,2.204,2.461
a,197986,0.000,0.000,36.000,0.004,0.006,-0.040,2.113,9.379,2.210,2.065
a,197991,0.000,0.000,36.000,-0.133,-0.071,-1.780,2.128,9.394,2.229,2.065
a,197994,0.000,0.000,36.000,0.096,0.143,0.555,2.119,9.382,2.237,2.065
a,197998,0.000,0.000,36.000,-0.057,0.128,1.212,2.115,9.361,2.233,2.021
a,198002,0.000,0.000,36.000,0.325,0.036,-0.177,2.137,9.353,2.241,2.109
a,198006,0.000,0.000,36.000,-0.255,-0.269,1.395,2.124,9.384,2.263,2.065
a,198011,0.000,0.000,36.000,0.050,-0.223,0.418,2.139,9.360,2.235,2.065
a,198015,0.000,0.000,36.000,0.111,-0.315,-0.162,2.100,9.377,2.239,2.417
a,198018,0.000,0.000,36.000,0.050,-0.055,0.647,2.136,9.382,2.248,2.065
a,198022,0.000,0.000,36.000,-0.179,-0.010,-0.635,2.096,9.407,2.266,1.978
a,198026,0.000,0.000,36.000,0.218,-0.071,0.128,2.110,9.351,2.243,2.021
a,198030,0.000,0.000,36.000,-0.087,-0.132,0.311,2.118,9.380,2.246,2.021
a,198034,0.000,0.000,36.000,0.035,-0.178,-0.239,2.143,9.395,2.227,2.417
a,198039,0.000,0.000,36.000,0.203,0.112,-0.498,2.107,9.390,2.237,2.065
a,198042,0.000,0.000,36.000,-0.011,-0.071,-1.002,2.131,9.363,2.248,2.417
a,198047,0.000,0.000,36.000,0.157,-0.055,0.616,2.126,9.391,2.233,2.065
a,198051,0.000,0.000,36.000,-0.057,-0.284,0.082,2.126,9.396,2.266,2.065
a,198054,0.000,0.000,36.000,0.126,-0.178,0.739,2.126,9.386,2.221,2.021
a,198058,0.000,0.000,36.000,0.004,-0.223,0.082,2.118,9.366,2.237,1.978
a,198062,0.000,0.000,36.000,-0.057,-0.071,0.143,2.126,9.361,2.243,2.021
a,198066,0.000,0.000,36.000,0.004,-0.117,0.189,2.114,9.380,2.251,2.021
a,198070,0.000,0.000,36.000,-0.011,-0.010,-0.544,2.114,9.367,2.264,2.417
a,198074,0.000,0.000,36.000,-0.011,-0.010,-1.231,2.115,9.392,2.241,2.065
a,198078,0.000,0.000,36.000,-0.103,0.204,0.067,2.106,9.398,2.235,2.065
a,198082,0.000,0.000,36.000,0.157,-0.178,0.281,2.131,9.389,2.269,2.021
a,198086,0.000,0.000,36.000,0.050,0.051,0.479,2.096,9.367,2.251,2.065
a,198090,0.000,0.000,36.000,-0.118,-0.010,-0.681,2.126,9.401,2.255,2.065
a,198094,0.000,0.000,36.000,0.218,-0.223,-0.086,2.112,9.374,2.255,2.021
a,198098,0.000,0.000,36.000,0.111,-0.117,0.281,2.102,9.389,2.241,2.065
a,198102,0.000,0.000,36.000,-0.103,0.112,0.510,2.137,9.366,2.222,2.065
a,198106,0.000,0.000,36.000,0.142,-0.040,0.265,2.113,9.385,2.245,2.461
a,198111,0.000,0.000,36.000,-0.240,0.006,0.220,2.134,9.364,2.223,2.065
a,198114,0.000,0.000,36.000,0.218,-0.055,0.052,2.112,9.398,2.245,2.065
a,198118,0.000,0.000,36.000,0.203,-0.117,-0.635,2.137,9.398,2.243,2.065
a,198122,0.000,0.000,36.000,-0.072,-0.086,-0.147,2.115,9.392,2.254,2.065
a,198126,0.000,0.000,36.000,0.004,-0.071,0.036,2.119,9.389,2.222,2.065
a,198130,0.000,0.000,36.000,-0.011,0.097,-0.315,2.119,9.382,2.235,2.021
a,198134,0.000,0.000,36.000,-0.118,-0.086,0.586,2.131,9.377,2.252,2.021
a,198139,0.000,0.000,36.000,0.111,-0.040,0.555,2.132,9.401,2.260,2.109
a,198143,0.000,0.000,36.000,-0.103,-0.178,0.097,2.127,9.372,2.241,2.373
a,198146,0.000,0.000,36.000,0.004,0.112,0.403,2.113,9.341,2.222,2.021
a,198150,0.000,0.000,36.000,-0.240,-0.071,-0.742,2.133,9.391,2.228,2.417
a,198154,0.000,0.000,36.000,0.050,-0.284,0.036,2.114,9.394,2.235,2.065
a,198158,0.000,0.000,36.000,-0.118,0.174,-0.208,2.107,9.372,2.243,2.065
a,198163,0.000,0.000,36.000,-0.103,0.036,0.220,2.099,9.374,2.248,2.065
a,198167,0.000,0.000,36.000,0.035,-0.162,0.082,2.134,9.363,2.245,2.065
a,198170,0.000,0.000,36.000,-0.072,-0.101,0.128,2.107,9.373,2.229,2.021
a,198174,0.000,0.000,36.000,-0.026,-0.162,-0.254,2.122,9.419,2.235,2.065
a,198178,0.000,0.000,36.000,0.004,0.006,0.113,2.131,9.373,2.222,2.065
a,198182,0.000,0.000,36.000,0.111,-0.055,0.586,2.157,9.363,2.218,2.109
a,198186,0.000,0.000,36.000,0.035,0.006,-1.032,2.128,9.379,2.229,2.417
a,198191,0.000,0.000,36.000,0.203,-0.071,-0.590,2.115,9.409,2.253,2.461
a,198194,0.000,0.000,36.000,0.004,-0.284,0.342,2.127,9.384,2.251,2.021
a,198199,0.000,0.000,36.000,-0.118,-0.117,-0.468,2.127,9.377,2.261,2.065
a,198202,0.000,0.000,36.000,-0.026,-0.162,-0.849,2.127,9.364,2.241,2.065
a,198206,0.000,0.000,36.000,-0.133,-0.055,-0.758,2.127,9.398,2.235,2.417
a,198210,0.000,0.000,36.000,-0.057,-0.040,0.891,2.128,9.352,2.243,2.373
a,198214,0.000,0.000,36.000,0.096,0.143,0.876,2.131,9.382,2.209,2.461
a,198218,0.000,0.000,36.000,0.218,0.158,0.387,2.137,9.364,2.261,2.109
a,198222,0.000,0.000,36.000,0.111,-0.010,-0.040,2.124,9.391,2.243,2.065
a,198226,0.000,0.000,36.000,-0.011,-0.071,-0.361,2.112,9.371,2.230,2.021
a,198230,0.000,0.000,36.000,-0.103,-0.117,0.342,2.124,9.389,2.230,2.109
a,198234,0.000,0.000,36.000,-0.103,-0.071,0.189,2.145,9.363,2.233,2.065
a,198238,0.000,0.000,36.000,0.004,0.006,0.403,2.119,9.369,2.222,2.109
a,198242,0.000,0.000,36.000,-0.179,0.112,0.067,2.131,9.380,2.270,1.978
a,198246,0.000,0.000,36.000,0.142,-0.208,-1.032,2.119,9.373,2.239,2.065
a,198250,0.000,0.000,36.000,-0.011,-0.117,-0.956,2.126,9.382,2.237,2.021
a,198255,0.000,0.000,36.000,-0.057,-0.178,0.128,2.115,9.355,2.248,2.065
a,198258,0.000,0.000,36.000,0.050,0.021,-0.681,2.139,9.388,2.230,2.065
a,198262,0.000,0.000,36.000,-0.057,-0.086,0.525,2.134,9.391,2.219,2.109
a,198266,0.000,0.000,36.000,0.050,-0.208,0.479,2.114,9.377,2.240,2.065
a,198270,0.000,0.000,36.000,0.096,0.051,-0.010,2.134,9.394,2.252,2.021
a,198274,0.000,0.000,36.000,0.126,-0.055,-0.284,2.131,9.372,2.251,2.065
a,198278,0.000,0.000,36.000,0.096,-0.178,-0.361,2.152,9.390,2.227,2.109
a,198282,0.000,0.000,36.000,0.050,0.021,0.845,2.146,9.372,2.233,2.065
a,198286,0.000,0.000,36.000,-0.164,-0.071,-0.132,2.121,9.367,2.237,2.373
a,198291,0.000,0.000,36.000,-0.057,0.006,-0.208,2.119,9.386,2.228,2.021
a,198294,0.000,0.000,36.000,0.035,-0.223,-1.124,2.121,9.406,2.227,2.109
a,198298,0.000,0.000,36.000,-0.011,0.036,-0.361,2.145,9.360,2.222,2.021
a,198302,0.000,0.000,36.000,-0.011,-0.117,-0.300,2.124,9.378,2.240,2.065
a,198306,0.000,0.000,36.000,0.096,-0.223,-0.697,2.115,9.373,2.270,2.021
a,198311,0.000,0.000,36.000,0.126,0.097,-1.582,2.121,9.407,2.241,2.065
a,198315,0.000,0.000,36.000,-0.087,-0.055,1.288,2.118,9.407,2.241,2.065
a,198319,0.000,0.000,36.000,-0.011,-0.055,-0.971,2.119,9.388,2.237,2.329
a,198322,0.000,0.000,36.000,-0.011,-0.117,-0.529,2.127,9.374,2.233,2.065
a,198326,0.000,0.000,36.000,0.050,0.036,0.021,2.130,9.382,2.241,2.109
a,198330,0.000,0.000,36.000,-0.057,-0.178,0.128,2.103,9.360,2.209,2.021
a,198334,0.000,0.000,36.000,0.157,-0.223,-0.162,2.112,9.366,2.253,2.109
a,198339,0.000,0.000,36.000,0.035,-0.147,0.968,2.143,9.377,2.237,2.065
a,198342,0.000,0.000,36.000,0.218,-0.193,0.891,2.140,9.380,2.247,2.065
a,198347,0.000,0.000,36.000,0.111,-0.117,0.021,2.133,9.357,2.234,2.021
a,198351,0.000,0.000,36.000,-0.057,-0.376,0.907,2.127,9.360,2.230,2.021
a,198354,0.000,0.000,36.000,-0.057,0.021,0.464,2.127,9.379,2.237,2.373
a,198358,0.000,0.000,36.000,-0.072,-0.040,0.678,2.121,9.347,2.217,2.373
a,198362,0.000,0.000,36.000,-0.164,0.051,0.968,2.131,9.358,2.240,2.109
a,198366,0.000,0.000,36.000,0.004,-0.055,0.540,2.110,9.410,2.234,2.417
a,198370,0.000,0.000,36.000,0.157,-0.162,-0.162,2.146,9.407,2.217,2.065
a,198374,0.000,0.000,36.000,0.111,-0.025,-0.315,2.106,9.370,2.251,2.065
a,198378,0.000,0.000,36.000,0.004,-0.147,0.800,2.116,9.391,2.229,2.065
a,198382,0.000,0.000,36.000,0.157,-0.010,0.265,2.110,9.389,2.233,2.065
a,198386,0.000,0.000,36.000,-0.103,-0.055,0.479,2.139,9.382,2.237,2.417
a,198390,0.000,0.000,36.000,-0.072,-0.101,0.128,2.127,9.379,2.237,2.021
a,198394,0.000,0.000,36.000,0.035,-0.117,-0.239,2.119,9.369,2.246,2.065
a,198398,0.000,0.000,36.000,0.065,0.006,1.487,2.124,9.380,2.234,2.065
a,198403,0.000,0.000,36.000,0.050,-0.269,0.479,2.124,9.389,2.233,2.373
a,198406,0.000,0.000,36.000,0.142,-0.055,-0.559,2.150,9.421,2.204,2.065
a,198410,0.000,0.000,36.000,0.279,-0.300,-0.681,2.131,9.401,2.246,2.021
a,198414,0.000,0.000,36.000,-0.179,-0.284,-1.322,2.110,9.366,2.233,2.373
a,198418,0.000,0.000,36.000,-0.057,-0.055,1.029,2.131,9.358,2.241,2.021
a,198422,0.000,0.000,36.000,0.004,0.067,0.678,2.115,9.386,2.243,2.065
a,198426,0.000,0.000,36.000,-0.103,-0.101,0.540,2.131,9.390,2.246,2.021
a,198430,0.000,0.000,36.000,0.142,-0.010,-0.926,2.124,9.366,2.264,2.373
a,198434,0.000,0.000,36.000,0.218,0.006,-0.177,2.146,9.373,2.237,2.417
a,198438,0.000,0.000,36.000,0.096,-0.071,-0.849,2.118,9.369,2.248,2.373
a,198442,0.000,0.000,36.000,-0.164,-0.162,0.876,2.115,9.389,2.237,2.065
