HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,123638,0.000,0.000,36.000,0.000,0.352,0.011,0.102,1.172,2.089,9.446,2.122
a,123642,0.000,0.000,36.000,0.000,-0.044,-0.050,0.056,0.973,2.088,9.465,2.125
a,123646,0.000,0.000,36.000,0.000,-0.088,0.041,-0.066,-0.248,2.081,9.446,2.109
a,123650,0.000,0.000,36.000,0.000,-0.088,-0.020,0.041,-0.416,2.088,9.439,2.119
a,123654,0.000,0.000,36.000,0.000,-0.088,-0.218,-0.310,-1.210,2.094,9.471,2.102
a,123658,0.000,0.000,36.000,0.000,-0.088,-0.005,-0.005,0.851,2.101,9.458,2.103
a,123662,0.000,0.000,36.000,0.000,-0.132,0.087,0.087,-0.599,2.073,9.434,2.113
a,123667,0.000,0.000,36.000,0.000,0.352,0.041,-0.020,-0.523,2.089,9.427,2.121
a,123670,0.000,0.000,36.000,0.000,-0.044,-0.005,0.255,-0.141,2.091,9.450,2.132
a,123674,0.000,0.000,36.000,0.000,-0.088,0.011,0.133,0.454,2.089,9.455,2.113
a,123678,0.000,0.000,36.000,0.000,-0.044,-0.127,0.087,-0.676,2.091,9.448,2.106
a,123682,0.000,0.000,36.000,0.000,0.308,-0.050,0.041,0.073,2.096,9.449,2.126
a,123686,0.000,0.000,36.000,0.000,0.352,0.209,-0.020,0.118,2.085,9.475,2.096
a,123690,0.000,0.000,36.000,0.000,-0.088,-0.005,0.163,0.637,2.078,9.450,2.108
a,123694,0.000,0.000,36.000,0.000,-0.044,0.102,0.072,-0.859,2.097,9.413,2.109
a,123698,0.000,0.000,36.000,0.000,-0.088,0.117,0.087,0.836,2.088,9.455,2.140
a,123703,0.000,0.000,36.000,0.000,-0.088,-0.066,0.056,-1.607,2.094,9.483,2.121
a,123707,0.000,0.000,36.000,0.000,0.352,-0.005,-0.005,0.744,2.065,9.444,2.132
a,123710,0.000,0.000,36.000,0.000,-0.044,-0.127,0.041,-0.569,2.072,9.427,2.112
a,123715,0.000,0.000,36.000,0.000,0.352,0.041,-0.173,-0.355,2.078,9.454,2.103
a,123718,0.000,0.000,36.000,0.000,-0.044,-0.020,0.148,-0.920,2.081,9.457,2.101
a,123722,0.000,0.000,36.000,0.000,-0.044,0.056,-0.173,-0.187,2.070,9.451,2.103
a,123727,0.000,0.000,36.000,0.000,-0.088,0.102,0.117,0.668,2.070,9.458,2.094
a,123731,0.000,0.000,36.000,0.000,-0.044,-0.112,0.087,0.179,2.084,9.443,2.120
a,123735,0.000,0.000,36.000,0.000,-0.044,-0.050,-0.020,-0.080,2.076,9.446,2.109
a,123738,0.000,0.000,36.000,0.000,-0.088,0.087,0.087,-0.309,2.094,9.432,2.113
a,123742,0.000,0.000,36.000,0.000,-0.044,0.072,0.072,0.240,2.097,9.448,2.113
a,123746,0.000,0.000,36.000,0.000,-0.044,-0.005,-0.050,0.531,2.085,9.439,2.106
a,123750,0.000,0.000,36.000,0.000,-0.044,0.087,0.148,-1.195,2.058,9.452,2.109
a,123754,0.000,0.000,36.000,0.000,-0.044,-0.005,0.041,-0.187,2.097,9.462,2.125
a,123759,0.000,0.000,36.000,0.000,-0.132,0.117,-0.188,0.286,2.096,9.424,2.094
a,123763,0.000,0.000,36.000,0.000,-0.044,-0.234,-0.066,-0.691,2.073,9.457,2.125
a,123767,0.000,0.000,36.000,0.000,-0.044,-0.112,0.041,0.393,2.101,9.445,2.116
a,123770,0.000,0.000,36.000,0.000,0.352,0.194,-0.020,-1.134,2.088,9.450,2.125
a,123775,0.000,0.000,36.000,0.000,-0.088,0.102,-0.295,-0.050,2.100,9.458,2.132
a,123778,0.000,0.000,36.000,0.000,-0.088,-0.112,-0.050,0.515,2.088,9.471,2.132
a,123782,0.000,0.000,36.000,0.000,-0.044,0.072,0.087,0.592,2.085,9.461,2.150
a,123786,0.000,0.000,36.000,0.000,-0.088,0.179,-0.035,-0.050,2.091,9.470,2.093
a,123790,0.000,0.000,36.000,0.000,-0.088,0.102,0.041,-0.050,2.082,9.451,2.109
a,123794,0.000,0.000,36.000,0.000,-0.088,0.056,-0.173,0.088,2.081,9.422,2.122
a,123798,0.000,0.000,36.000,0.000,-0.132,-0.218,-0.218,0.515,2.109,9.461,2.116
a,123802,0.000,0.000,36.000,0.000,-0.044,0.011,-0.035,0.408,2.100,9.451,2.112
a,123806,0.000,0.000,36.000,0.000,0.000,-0.112,-0.050,0.744,2.084,9.485,2.112
a,123810,0.000,0.000,36.000,0.000,-0.044,-0.295,0.087,-1.027,2.091,9.463,2.103
a,123814,0.000,0.000,36.000,0.000,-0.044,0.209,-0.112,0.683,2.076,9.430,2.127
a,123819,0.000,0.000,36.000,0.000,-0.088,0.072,-0.188,0.454,2.089,9.465,2.116
a,123822,0.000,0.000,36.000,0.000,-0.088,-0.173,-0.157,0.576,2.084,9.475,2.119
a,123826,0.000,0.000,36.000,0.000,-0.088,-0.050,-0.066,0.302,2.091,9.456,2.125
a,123830,0.000,0.000,36.000,0.000,-0.088,-0.066,0.087,-0.263,2.109,9.450,2.109
a,123834,0.000,0.000,36.000,0.000,-0.044,-0.066,0.316,-0.263,2.082,9.427,2.099
a,123838,0.000,0.000,36.000,0.000,-0.132,0.102,0.072,-0.477,2.070,9.438,2.106
a,123842,0.000,0.000,36.000,0.000,-0.088,0.117,-0.142,0.332,2.097,9.451,2.108
a,123846,0.000,0.000,36.000,0.000,-0.088,-0.005,-0.127,0.195,2.073,9.446,2.103
a,123851,0.000,0.000,36.000,0.000,-0.088,0.056,-0.218,0.698,2.096,9.437,2.100
a,123855,0.000,0.000,36.000,0.000,-0.088,-0.020,-0.157,-1.821,2.089,9.468,2.125
