HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SWP_SG,SV_POS
a,55323,0.000,4.004,36.000,-0.132,-0.832,-0.655,2.099,9.304,2.294,4.004,8.394
a,55328,0.000,3.920,36.000,0.051,0.374,0.383,2.012,9.335,2.230,3.920,8.218
a,55332,0.000,3.835,36.000,0.234,0.832,-0.273,2.158,9.270,2.260,3.835,7.690
a,55335,0.000,3.749,36.000,-0.148,0.038,0.521,2.326,9.339,2.173,3.749,8.042
a,55339,0.000,3.663,36.000,-0.529,-1.428,0.506,2.310,9.323,2.186,3.663,8.218
a,55344,0.000,3.577,36.000,-0.087,-0.619,0.826,2.070,9.347,2.302,3.577,7.646
a,55348,0.000,3.491,36.000,0.066,0.816,1.162,2.058,9.300,2.334,3.491,8.130
a,55352,0.000,3.404,36.000,1.654,5.076,-2.502,1.237,8.788,2.161,3.404,7.646
a,55355,0.000,3.317,36.000,1.990,0.145,0.826,2.898,8.250,1.349,3.317,7.515
a,55359,0.000,3.229,36.000,-1.736,-0.512,1.269,1.342,10.197,2.419,3.229,7.471
a,55363,0.000,3.141,36.000,0.707,-1.000,-0.349,2.510,9.020,3.358,3.141,7.383
a,55367,0.000,3.053,36.000,-1.323,0.969,0.460,1.968,9.552,1.245,3.053,6.943
a,55371,0.000,2.965,36.000,0.768,0.618,-0.319,1.993,9.414,2.070,2.965,7.031
a,55375,0.000,2.876,36.000,0.356,1.290,0.765,2.036,9.692,2.100,2.876,7.339
a,55379,0.000,2.787,36.000,0.524,-1.153,-1.327,2.049,9.268,2.295,2.787,6.855
a,55383,0.000,2.698,36.000,-0.071,0.145,-1.601,2.257,9.045,2.490,2.698,10.371
a,55387,0.000,2.608,36.000,0.005,0.206,0.353,1.891,9.600,1.878,2.608,6.855
a,55391,0.000,2.518,36.000,0.768,0.023,0.200,2.350,9.188,2.513,2.518,6.855
a,55396,0.000,2.428,36.000,-0.346,-0.451,-0.777,2.267,9.473,2.100,2.428,6.812
a,55399,0.000,2.337,36.000,-0.102,-0.176,0.643,2.320,9.327,2.449,2.337,6.899
a,55403,0.000,2.246,36.000,-0.056,0.145,-0.472,2.000,9.505,2.071,2.246,6.680
a,55408,0.000,2.155,36.000,-0.010,0.649,0.399,2.273,9.383,2.231,2.155,6.812
a,55412,0.000,2.064,36.000,0.051,-0.008,0.399,2.170,9.366,2.201,2.064,6.636
a,55415,0.000,1.973,36.000,-0.010,-0.298,-1.327,2.201,9.342,2.235,1.973,6.284
a,55419,0.000,1.881,36.000,-0.163,-0.512,-0.120,2.336,9.370,2.261,1.881,6.636
a,55423,0.000,1.789,36.000,0.081,0.420,-0.533,1.980,9.408,2.258,1.789,6.240
a,55427,0.000,1.697,36.000,0.341,0.618,-0.044,2.254,9.319,2.277,1.697,6.284
a,55432,0.000,1.604,36.000,-0.209,-0.466,0.032,2.233,9.493,2.120,1.604,6.240
a,55436,0.000,1.512,36.000,0.219,0.129,-0.640,2.158,9.313,2.325,1.512,6.021
a,55440,0.000,1.419,36.000,-0.148,-0.466,-0.014,2.254,9.421,2.188,1.419,6.108
a,55443,0.000,1.326,36.000,0.066,0.343,0.124,2.083,9.327,2.300,1.326,6.064
a,55447,0.000,1.233,36.000,-0.041,0.618,0.078,2.227,9.390,2.172,1.233,5.581
a,55451,0.000,1.140,36.000,-0.148,-0.084,-0.227,2.201,9.367,2.252,1.140,5.361
a,55455,0.000,1.046,36.000,0.005,0.191,0.017,2.099,9.319,2.255,1.046,5.273
a,55460,0.000,0.953,36.000,-0.331,-0.680,-0.869,2.351,9.363,2.255,0.953,4.746
a,55463,0.000,0.859,36.000,-0.209,-0.374,0.048,2.067,9.386,2.192,0.859,4.702
a,55468,0.000,0.765,36.000,0.356,0.801,0.887,2.112,9.377,2.277,0.765,4.790
a,55471,0.000,0.671,36.000,-0.117,0.587,-0.411,2.283,9.378,2.230,0.671,4.790
a,55475,0.000,0.577,36.000,-0.071,-0.237,-0.563,2.279,9.378,2.194,0.577,4.746
a,55479,0.000,0.483,36.000,-0.209,-0.634,0.170,2.236,9.371,2.254,0.483,4.790
a,55483,0.000,0.389,36.000,0.097,0.374,0.551,2.089,9.361,2.221,0.389,4.702
a,55487,0.000,0.294,36.000,0.234,0.450,-0.426,2.137,9.342,2.264,0.294,4.746
a,55491,0.000,0.200,36.000,0.173,0.465,0.612,2.251,9.391,2.201,0.200,4.746
a,55495,0.000,0.105,36.000,0.005,-0.115,0.857,2.225,9.303,2.215,0.105,4.658
a,55499,0.000,0.011,36.000,-0.056,-0.008,0.307,2.235,9.346,2.224,0.011,4.526
a,55503,0.000,-0.084,36.000,-0.132,-0.451,-0.884,2.163,9.374,2.189,-0.084,4.131
a,55507,0.000,-0.179,36.000,0.173,0.252,0.612,2.077,9.330,2.308,-0.179,4.043
a,55511,0.000,-0.274,36.000,-0.194,0.526,1.345,2.210,9.384,2.216,-0.274,4.131
a,55515,0.000,-0.368,36.000,-0.026,0.145,-0.960,2.215,9.361,2.218,-0.368,4.043
