HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,77904,0.000,0.000,36.000,0.000,4.087,-0.023,-0.058,-0.375,2.219,9.339,2.188
a,77908,0.000,0.000,36.000,0.000,4.087,0.084,-0.134,0.739,2.215,9.324,2.200
a,77911,0.000,0.000,36.000,0.000,3.999,0.022,0.018,-0.711,2.203,9.305,2.188
a,77915,0.000,0.000,36.000,0.000,4.043,0.038,-0.195,0.709,2.218,9.339,2.192
a,77919,0.000,0.000,36.000,0.000,4.131,-0.023,-0.104,0.434,2.193,9.310,2.182
a,77923,0.000,0.000,36.000,0.000,3.999,-0.039,0.064,-0.162,2.224,9.361,2.205
a,77927,0.000,0.000,36.000,0.000,4.043,0.084,0.140,0.251,2.230,9.346,2.185
a,77931,0.000,0.000,36.000,0.000,3.999,0.068,0.171,-0.620,2.222,9.322,2.200
a,77935,0.000,0.000,36.000,0.000,4.087,-0.039,-0.211,-1.139,2.217,9.319,2.194
a,77940,0.000,0.000,36.000,0.000,4.043,-0.130,0.079,1.274,2.210,9.324,2.205
a,77944,0.000,0.000,36.000,0.000,4.087,0.084,0.079,1.411,2.215,9.330,2.189
a,77947,0.000,0.000,36.000,0.000,4.043,-0.023,0.171,0.220,2.228,9.335,2.207
a,77952,0.000,0.000,36.000,0.000,4.087,0.175,-0.363,0.205,2.212,9.301,2.217
a,77956,0.000,0.000,36.000,0.000,4.087,0.038,0.003,0.220,2.209,9.307,2.188
a,77959,0.000,0.000,36.000,0.000,4.087,0.053,0.079,1.212,2.219,9.349,2.213
a,77963,0.000,0.000,36.000,0.000,4.131,-0.023,0.049,0.113,2.224,9.301,2.200
a,77967,0.000,0.000,36.000,0.000,4.087,0.190,0.079,0.312,2.197,9.322,2.201
a,77971,0.000,0.000,36.000,0.000,4.131,0.022,-0.195,0.434,2.246,9.305,2.178
a,77975,0.000,0.000,36.000,0.000,3.999,-0.039,0.171,0.052,2.212,9.327,2.206
a,77979,0.000,0.000,36.000,0.000,3.955,0.084,-0.272,-0.131,2.193,9.330,2.207
a,77983,0.000,0.000,36.000,0.000,4.043,0.022,-0.134,-0.009,2.219,9.335,2.205
a,77987,0.000,0.000,36.000,0.000,4.131,0.251,0.385,-0.085,2.233,9.325,2.201
a,77991,0.000,0.000,36.000,0.000,4.087,0.038,0.232,0.205,2.230,9.316,2.191
a,77995,0.000,0.000,36.000,0.000,4.131,0.145,-0.165,-0.070,2.215,9.351,2.233
a,78000,0.000,0.000,36.000,0.000,4.043,-0.069,-0.089,0.266,2.212,9.328,2.192
a,78004,0.000,0.000,36.000,0.000,3.999,0.038,-0.119,-0.223,2.228,9.286,2.215
a,78007,0.000,0.000,36.000,0.000,4.087,-0.084,-0.058,-0.650,2.240,9.342,2.213
a,78011,0.000,0.000,36.000,0.000,4.087,-0.146,-0.119,-0.650,2.225,9.339,2.185
a,78015,0.000,0.000,36.000,0.000,4.043,-0.039,0.079,0.495,2.210,9.327,2.191
a,78019,0.000,0.000,36.000,0.000,4.043,0.084,0.125,0.312,2.230,9.337,2.215
a,78023,0.000,0.000,36.000,0.000,4.087,0.175,-0.104,-0.620,2.209,9.313,2.204
a,78027,0.000,0.000,36.000,0.000,4.087,-0.039,0.034,0.602,2.237,9.327,2.206
a,78031,0.000,0.000,36.000,0.000,4.087,0.068,0.186,0.251,2.204,9.323,2.203
a,78035,0.000,0.000,36.000,0.000,3.999,0.038,-0.226,-0.268,2.218,9.301,2.204
a,78040,0.000,0.000,36.000,0.000,4.131,0.038,-0.318,0.113,2.206,9.321,2.206
a,78044,0.000,0.000,36.000,0.000,4.087,-0.207,0.110,-0.543,2.193,9.339,2.194
a,78047,0.000,0.000,36.000,0.000,4.087,-0.069,0.018,0.113,2.212,9.311,2.191
a,78051,0.000,0.000,36.000,0.000,4.175,-0.023,-0.104,0.388,2.193,9.335,2.211
a,78055,0.000,0.000,36.000,0.000,4.087,-0.130,0.232,-0.391,2.218,9.319,2.211
a,78060,0.000,0.000,36.000,0.000,4.087,-0.252,0.125,0.159,2.225,9.343,2.188
a,78064,0.000,0.000,36.000,0.000,4.087,0.068,0.079,0.586,2.240,9.305,2.218
a,78067,0.000,0.000,36.000,0.000,4.131,-0.069,-0.089,0.877,2.212,9.325,2.182
a,78072,0.000,0.000,36.000,0.000,4.043,0.190,-0.272,-0.284,2.237,9.301,2.206
a,78075,0.000,0.000,36.000,0.000,4.043,0.038,0.171,0.541,2.204,9.321,2.207
a,78079,0.000,0.000,36.000,0.000,4.043,0.145,0.034,0.693,2.215,9.331,2.211
a,78083,0.000,0.000,36.000,0.000,4.131,-0.054,-0.104,1.319,2.222,9.336,2.200
a,78087,0.000,0.000,36.000,0.000,4.043,0.068,-0.058,-1.261,2.210,9.334,2.213
a,78091,0.000,0.000,36.000,0.000,4.087,-0.115,0.079,1.319,2.218,9.317,2.207
a,78096,0.000,0.000,36.000,0.000,4.087,0.068,0.064,-0.284,2.218,9.330,2.209
a,78100,0.000,0.000,36.000,0.000,4.043,0.068,0.003,-1.368,2.230,9.303,2.188
a,78103,0.000,0.000,36.000,0.000,4.043,-0.069,-0.226,0.159,2.210,9.321,2.200
a,78108,0.000,0.000,36.000,0.000,4.087,-0.029,0.049,0.123,2.212,9.300,2.227
a,78111,0.000,0.000,36.000,0.000,4.043,0.047,-0.043,-0.534,2.235,9.330,2.184
a,78115,0.000,0.000,36.000,0.000,3.955,0.077,-0.104,0.337,2.217,9.293,2.191
a,78119,0.000,0.000,36.000,0.000,4.043,0.032,0.003,-0.091,2.212,9.319,2.201
a,78123,0.000,0.000,36.000,0.000,4.087,-0.075,0.003,0.016,2.228,9.310,2.221
a,78127,0.000,0.000,36.000,0.000,4.131,0.062,-0.058,-1.297,2.189,9.329,2.215
a,78131,0.000,0.000,36.000,0.000,4.131,-0.045,-0.226,-1.129,2.204,9.342,2.204
a,78135,0.000,0.000,36.000,0.000,4.131,0.032,-0.165,0.184,2.193,9.348,2.200
a,78139,0.000,0.000,36.000,0.000,4.131,0.062,-0.058,-0.534,2.230,9.343,2.176
a,78143,0.000,0.000,36.000,0.000,3.999,0.077,0.064,0.596,2.218,9.324,2.198
a,78147,0.000,0.000,36.000,0.000,3.955,-0.075,0.232,0.489,2.197,9.305,2.176
a,78151,0.000,0.000,36.000,0.000,4.131,-0.029,-0.317,0.566,2.230,9.321,2.206
a,78155,0.000,0.000,36.000,0.000,4.131,-0.075,-0.149,0.673,2.212,9.282,2.204
a,78160,0.000,0.000,36.000,0.000,4.131,0.077,0.018,0.550,2.206,9.348,2.227
a,78163,0.000,0.000,36.000,0.000,4.087,-0.075,-0.058,-0.411,2.203,9.325,2.201
a,78167,0.000,0.000,36.000,0.000,4.087,-0.197,0.141,0.673,2.212,9.339,2.198
a,78171,0.000,0.000,36.000,0.000,4.087,-0.152,-0.104,-0.518,2.224,9.325,2.209
a,78175,0.000,0.000,36.000,0.000,4.087,0.062,0.049,-0.488,2.234,9.325,2.219
a,78179,0.000,0.000,36.000,0.000,4.043,-0.029,0.232,0.825,2.201,9.317,2.213
a,78183,0.000,0.000,36.000,0.000,3.999,-0.029,0.003,0.184,2.197,9.317,2.198
a,78188,0.000,0.000,36.000,0.000,4.043,0.032,-0.134,0.230,2.215,9.321,2.194
a,78192,0.000,0.000,36.000,0.000,4.087,0.139,0.080,0.489,2.203,9.313,2.206
a,78195,0.000,0.000,36.000,0.000,4.131,-0.197,0.018,0.398,2.219,9.336,2.191
a,78199,0.000,0.000,36.000,0.000,4.131,-0.136,0.003,-0.152,2.191,9.307,2.206
a,78203,0.000,0.000,36.000,0.000,4.087,-0.075,0.018,-0.366,2.203,9.305,2.229
a,78207,0.000,0.000,36.000,0.000,4.087,-0.029,0.080,0.673,2.219,9.348,2.194
a,78212,0.000,0.000,36.000,0.000,4.043,-0.136,0.018,0.718,2.222,9.345,2.227
a,78216,0.000,0.000,36.000,0.000,4.043,-0.045,-0.043,-0.793,2.241,9.357,2.188
a,78219,0.000,0.000,36.000,0.000,4.043,-0.197,0.064,-0.152,2.219,9.364,2.185
a,78223,0.000,0.000,36.000,0.000,4.043,-0.045,-0.043,-0.640,2.212,9.353,2.201
a,78227,0.000,0.000,36.000,0.000,3.999,0.154,0.018,1.054,2.240,9.354,2.200
a,78231,0.000,0.000,36.000,0.000,4.043,0.047,-0.256,1.344,2.225,9.331,2.195
a,78235,0.000,0.000,36.000,0.000,3.999,-0.152,0.018,-0.747,2.199,9.349,2.179
a,78240,0.000,0.000,36.000,0.000,4.131,-0.228,-0.027,1.665,2.217,9.317,2.192
a,78244,0.000,0.000,36.000,0.000,4.043,-0.304,-0.104,-0.198,2.233,9.345,2.176
a,78247,0.000,0.000,36.000,0.000,4.043,0.139,-0.027,1.100,2.233,9.351,2.173
a,78252,0.000,0.000,36.000,0.000,4.087,0.077,-0.165,-0.106,2.222,9.321,2.213
a,78255,0.000,0.000,36.000,0.000,4.131,-0.014,-0.027,0.947,2.222,9.324,2.219
a,78259,0.000,0.000,36.000,0.000,4.043,0.245,0.018,-0.320,2.217,9.353,2.207
a,78263,0.000,0.000,36.000,0.000,4.131,-0.152,0.064,-1.068,2.201,9.351,2.204
a,78267,0.000,0.000,36.000,0.000,4.087,-0.029,0.064,-0.091,2.222,9.335,2.204
a,78271,0.000,0.000,36.000,0.000,4.043,-0.014,-0.043,0.947,2.210,9.340,2.185
a,78275,0.000,0.000,36.000,0.000,4.087,0.032,-0.104,0.459,2.222,9.354,2.207
a,78279,0.000,0.000,36.000,0.000,4.043,0.016,-0.226,-0.747,2.204,9.334,2.215
a,78283,0.000,0.000,36.000,0.000,4.131,-0.090,0.141,0.291,2.203,9.334,2.199
a,78287,0.000,0.000,36.000,0.000,4.043,-0.136,-0.104,-0.091,2.230,9.367,2.211
a,78291,0.000,0.000,36.000,0.000,4.087,-0.243,0.339,0.108,2.217,9.371,2.213
a,78295,0.000,0.000,36.000,0.000,4.131,-0.228,0.064,-1.068,2.209,9.336,2.188
a,78299,0.000,0.000,36.000,0.000,3.999,-0.075,0.003,-0.198,2.234,9.346,2.227
a,78303,0.000,0.000,36.000,0.000,4.043,-0.136,0.049,-0.152,2.246,9.360,2.182
a,78307,0.000,0.000,36.000,0.000,4.131,-0.075,0.232,0.001,2.212,9.348,2.198
a,78311,0.000,0.000,36.000,0.000,4.043,-0.197,0.110,0.123,2.249,9.304,2.213
a,78315,0.000,0.000,36.000,0.000,3.999,0.062,-0.058,-0.976,2.237,9.354,2.192
a,78319,0.000,0.000,36.000,0.000,3.955,-0.136,0.232,-0.045,2.210,9.351,2.198
a,78323,0.000,0.000,36.000,0.000,4.087,0.047,-0.149,-1.679,2.230,9.337,2.217
a,78327,0.000,0.000,36.000,0.000,3.999,0.077,-0.104,0.215,2.215,9.334,2.221
a,78331,0.000,0.000,36.000,0.000,4.043,0.077,0.018,0.169,2.228,9.345,2.198
a,78335,0.000,0.000,36.000,0.000,4.043,-0.152,0.049,-1.129,2.224,9.348,2.200
a,78340,0.000,0.000,36.000,0.000,4.043,0.032,0.125,0.398,2.191,9.334,2.198
a,78343,0.000,0.000,36.000,0.000,4.087,-0.060,0.217,0.459,2.224,9.359,2.201
a,78347,0.000,0.000,36.000,0.000,4.043,-0.136,-0.256,-0.091,2.230,9.354,2.195
a,78351,0.000,0.000,36.000,0.000,4.043,-0.152,-0.043,-0.472,2.203,9.339,2.191
a,78355,0.000,0.000,36.000,0.000,4.131,0.139,0.064,-0.427,2.248,9.357,2.175
a,78359,0.000,0.000,36.000,0.000,4.043,-0.045,0.003,-0.961,2.218,9.331,2.200
a,78363,0.000,0.000,36.000,0.000,4.087,0.016,-0.058,-0.747,2.209,9.331,2.194
a,78367,0.000,0.000,36.000,0.000,3.999,-0.152,0.064,-0.747,2.212,9.339,2.191
a,78371,0.000,0.000,36.000,0.000,4.087,-0.060,-0.043,0.947,2.219,9.342,2.213
a,78375,0.000,0.000,36.000,0.000,4.043,0.139,0.171,-0.106,2.209,9.325,2.191
a,78379,0.000,0.000,36.000,0.000,4.043,0.123,0.171,-1.144,2.222,9.335,2.207
a,78383,0.000,0.000,36.000,0.000,4.131,-0.213,-0.333,-0.793,2.219,9.321,2.211
a,78388,0.000,0.000,36.000,0.000,4.043,-0.029,0.049,0.016,2.224,9.321,2.192
a,78392,0.000,0.000,36.000,0.000,4.087,0.032,0.110,0.016,2.204,9.316,2.198
a,78395,0.000,0.000,36.000,0.000,4.131,0.123,0.125,0.001,2.225,9.366,2.176
a,78399,0.000,0.000,36.000,0.000,4.175,-0.197,-0.104,-0.259,2.224,9.364,2.198
a,78403,0.000,0.000,36.000,0.000,4.087,0.093,0.034,1.054,2.224,9.307,2.207
a,78407,0.000,0.000,36.000,0.000,4.043,-0.090,0.125,-1.236,2.228,9.354,2.195
a,78411,0.000,0.000,36.000,0.000,4.131,-0.090,0.064,-0.640,2.218,9.331,2.194
a,78415,0.000,0.000,36.000,0.000,3.999,-0.136,-0.104,0.459,2.225,9.331,2.211
a,78420,0.000,0.000,36.000,0.000,4.131,0.291,-0.134,0.276,2.230,9.324,2.186
a,78424,0.000,0.000,36.000,0.000,4.043,-0.029,0.003,-0.259,2.239,9.361,2.207
a,78427,0.000,0.000,36.000,0.000,3.999,0.047,0.064,-0.656,2.217,9.330,2.189
